feature	set_1	set_2	set_3	set_4
feature_1	1	0	0	0
feature_2	1	0	0	0
feature_3	1	0	0	0
feature_4	1	0	0	0
feature_5	1	0	0	0
feature_6	1	0	0	0
feature_7	1	0	0	0
feature_8	0	1	0	0
feature_9	0	1	0	0
feature_10	0	1	0	0
feature_11	0	1	0	0
feature_12	0	1	0	0
feature_13	0	1	0	0
feature_14	0	1	0	0
feature_15	0	1	0	0
feature_16	0	0	1	0
feature_17	0	0	1	0
feature_18	0	0	1	0
feature_19	0	0	1	0
feature_20	0	0	1	0
feature_21	0	0	1	0
feature_22	0	0	1	0
feature_23	0	0	0	1
feature_24	0	0	0	1
feature_25	0	0	0	1
feature_26	0	0	0	1
feature_27	0	0	0	1
feature_28	0	0	0	1
feature_29	0	0	0	1
feature_30	0	0	0	1
