observation	group	sex	sex_y	response_1	response_2	response_3	predictor_fixed_1	predictor_fixed_2	predictor_fixed_3	predictor_random_1
observation_1	group_1	female	0	2.55923666979925	0.765800523872423	1.30114940984199	0.184484676452922	0.82881258495492	0	subject_1
observation_2	group_1	female	0	2.18992761610448	2.84175507423666	2.86990820384392	0.0760732280833359	0.282408178050005	0	subject_1
observation_3	group_1	female	0	1.91594040124257	2.86476414492967	2.35101448251866	0.534156332303377	1.69764382440523	0	subject_2
observation_4	group_1	female	0	2.35612732916636	2.40530533655529	2.2166438276041	0.246086253019087	0.401058570017096	0	subject_2
observation_5	group_1	female	0	1.5567938752447	0.406703969682844	2.38317982025684	0.958010123746014	0.334364475455537	0	subject_3
observation_6	group_1	female	0	1.07266739345708	1.94528483258625	1.89354196440352	0.695825446580595	1.07444076183091	0	subject_3
observation_7	group_1	male	1	0.0975194186444322	1.11691058281749	1.06477604673198	0.854568269994316	0.196446328874738	0	subject_4
observation_8	group_1	male	1	0.0558508125875452	0.0671871343431359	2.14215276910917	0.516817208996524	1.70412987340022	0	subject_4
observation_9	group_1	male	1	1.76814658489008	1.86483389550055	1.46421474747994	0.615541802059704	0.00595732158123633	0	subject_5
observation_10	group_1	male	1	0.392887577100236	2.34056349516788	0.747275121434645	0.882544653903747	1.44438155336733	0	subject_5
observation_11	group_2	female	0	0.962874321327307	2.96574033023709	1.46476812604492	0.951701102015659	1.50577188033708	0	subject_6
observation_12	group_2	female	0	2.23005444849229	1.10436699470798	2.34161093801588	0.525285144657774	1.94445277936964	0	subject_6
observation_13	group_2	female	0	1.85594469118721	2.29221948519905	1.31328252805008	0.63874782781815	0.693640179258476	0	subject_7
observation_14	group_2	female	0	0.70369193366479	0.685427770984235	2.94313197897644	0.399609165960606	0.019143348439231	0	subject_7
observation_15	group_2	male	1	1.30963674593008	1.78632200705284	0.830769136282854	0.552186160741392	0.0369869674713563	0	subject_8
observation_16	group_2	male	1	2.28022722157072	0.305434291321502	1.40635724344079	0.39568496604991	0.486536923177982	1	subject_8
observation_17	group_2	male	1	2.68929898172167	2.38283126116965	0.0801028613372587	0.991316734110762	0.0785065244112009	1	subject_9
observation_18	group_2	male	1	2.93385820010311	2.30591417673404	1.38243139579071	0.490934844895411	1.97856384412898	1	subject_9
observation_19	group_3	female	0	0.0865965216600445	2.06540872008866	0.456507099182722	0.803373379168912	1.10363245105587	1	subject_10
observation_20	group_3	female	0	1.6716284468797	1.74402138082715	0.380098100777519	0.856121237340546	1.38797703119581	1	subject_10
observation_21	group_3	female	0	2.53408606447353	2.82299793117277	0.811875572557741	0.936139713970805	1.9034646293535	1	subject_11
observation_22	group_3	female	0	2.75572511188058	0.540117006419604	1.85601883061172	0.889129185846983	1.3214463624053	1	subject_11
observation_23	group_3	male	1	0.499415372590529	1.34083834358124	2.2739679227819	0.847121964288761	1.57744358555936	1	subject_12
observation_24	group_3	male	1	0.902071828427735	0.17761834955345	1.07430048076287	0.0153406756161794	0.103187127549597	1	subject_12
observation_25	group_3	male	1	0.519701302371868	0.788541524799911	0.676338902437589	0.965453917492585	0.689974919974784	1	subject_13
observation_26	group_3	male	1	1.52713281709513	0.454305199155993	2.78578980966532	0.64532752352352	1.00199999838241	1	subject_13
observation_27	group_4	female	0	0.83208867303934	0.287262708268611	2.76456006980097	0.124624358691593	0.135586875027567	1	subject_14
observation_28	group_4	female	0	1.865679296642	2.24716974538516	1.32292663116137	0.0104479864407447	1.32988102002415	1	subject_14
observation_29	group_4	male	1	0.961778764181979	1.7707088047397	0.545757665103943	0.668054446978667	1.6898408821979	1	subject_15
observation_30	group_4	male	1	0.911391268873586	0.857338113918697	2.09633728962072	0.282792138814834	0.145892956767545	1	subject_15
