label	heritability_observed	standard_error_observed	prevalence_sample	prevalence_population
example_walters_2016-07-27	0.5907	0.001	0.5	0.01
34002096_mullins_2021_bd_all	0.1926	0.0074	0.392	0.02
34002096_mullins_2021_bd_no_ukb	0.1962	0.0076	0.405	0.02
34002096_mullins_2021_bd_1	0.2606	0.011	0.357	0.01
34002096_mullins_2021_bd_2	0.172	0.0206	0.168	0.01
35396580_trubetskoy_2022_all	0.3091	0.0101	0.409	0.01
30718901_howard_2019_pgc_ukb	0.0666	0.0026	0.341	0.15
36702997_demontis_2023_adhd	0.1564	0.0069	0.172	0.05
32747698_matoba_2020_europe	0.1688	0.0121	0.413	0.03
31748690_purves_2020_meta	0.0875	0.0063	0.28	0.15
31594949_nievergelt_2019_europe_all	0.0358	0.0064	0.133	0.3
28761083_arnold_2018	0.3895	0.0548	0.276	0.03
30818990_yu_2019	0.3514	0.0402	0.337	0.01
31308545_watson_2019	0.234	0.0155	0.234	0.03
